sample_id,Atacama_ASV_26,Atacama_ASV_13,Atacama_ASV_24,Atacama_ASV_01,Atacama_ASV_02,Atacama_ASV_03,Atacama_ASV_21,Atacama_ASV_15,Atacama_ASV_38,Atacama_ASV_04,Atacama_ASV_08,Atacama_ASV_16,Atacama_ASV_30,Atacama_ASV_31,Atacama_ASV_43,Atacama_ASV_07,Atacama_ASV_12,Atacama_ASV_17,Atacama_ASV_29,Atacama_ASV_32,Atacama_ASV_36,Atacama_ASV_37,Atacama_ASV_42,Atacama_ASV_46,Atacama_ASV_51,Atacama_ASV_52,Atacama_ASV_14,Atacama_ASV_18,Atacama_ASV_19,Atacama_ASV_22,Atacama_ASV_25,Atacama_ASV_35,Atacama_ASV_39,Atacama_ASV_40,Atacama_ASV_41,Atacama_ASV_44,Atacama_ASV_45,Atacama_ASV_47,Atacama_ASV_48,Atacama_ASV_49,Atacama_ASV_50,Atacama_ASV_53,Atacama_ASV_54,Atacama_ASV_05,Atacama_ASV_06,Atacama_ASV_23,Atacama_ASV_27,Atacama_ASV_28,Atacama_ASV_33,Atacama_ASV_34,total_reads
YUN3259.3,0,24,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,224,0,0,61,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,547
YUN3346.1,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,405
YUN3346.2,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
YUN3346.3,0,0,0,0,0,0,0,0,0,0,0,40,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373
YUN3428.1,0,0,0,24,0,0,35,41,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,34,0,0,0,0,0,0,37,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,346
YUN3428.2,0,0,0,0,0,0,35,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,27,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466
YUN3428.3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,179,0,22,30,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,294
YUN3533.1.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,491
YUN3533.1.2,0,29,8,197,0,0,30,15,0,37,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0,0,0,0,0,0,0,397
YUN3533.1.3,0,0,0,187,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,387
YUN3533.2,0,0,0,28,0,0,0,24,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,24,0,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,639
YUN3533.3,0,24,0,47,0,0,0,23,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434
YUN3856.1.1,25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,422
YUN3856.1.2,11,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,8,0,0,0,0,0,0,0,500
YUN3856.1.3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,275
YUN3856.2,0,27,0,203,0,0,0,0,15,0,0,0,0,0,9,0,0,0,0,44,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,0,0,0,500
YUN3856.3,10,0,0,0,52,0,28,0,8,0,0,0,0,0,14,0,188,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,24,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,601
